,J,SNOW,SM,P,P2,ET,Q,C_J,C_P,C_P2,C_Q
2012-10-01,0.0,0.0,0.0,0.0,0.0,0.11250265951130331,0.0,0.0,0.0,0.0,0.0
2012-10-02,0.0,0.0,0.0,0.0,0.0,0.31992183192078216,8.301109965459951e-05,0.0,0.0,0.0,0.0
2012-10-03,0.0,0.0,0.0,0.0,0.0,0.16560393892653014,3.0054702916013655e-05,0.0,0.0,0.0,0.0
2012-10-04,0.0,0.0,0.0,0.0,0.0,0.027063553249874066,5.716030677864058e-05,0.0,0.0,0.0,0.0
2012-10-05,0.0,0.0,0.0,0.0,0.0,0.03355210013680555,9.963016140051414e-05,0.0,0.0,0.0,0.0
2012-10-06,0.0,0.0,0.0,0.0,0.0,0.03537114402536155,0.00010283748943294855,0.0,0.0,0.0,0.0
2012-10-07,0.0,0.0,0.0,0.0,0.0,0.026049797091937575,0.00011565509822009603,0.0,0.0,0.0,0.0
2012-10-08,0.0,0.0,0.0,0.0,0.0,0.030263148476400933,0.00011548454854709687,0.0,0.0,0.0,0.0
2012-10-09,0.0,0.0,0.0,0.0,0.0,0.029951838839049026,0.00011669420070029553,0.0,0.0,0.0,0.0
2012-10-10,0.0,0.0,0.0,0.0,0.0,0.03342761163620265,0.00011151137715658424,0.0,0.0,0.0,0.0
2012-10-11,0.0,0.0,0.0,0.0,0.0,0.030375168872641526,9.68058056174048e-05,0.0,0.0,0.0,0.0
2012-10-12,3.5860257136811797,0.0,0.0,3.5860257136811797,3.5860257136811797,0.007602439406487724,0.00010396659493506423,0.9385606342128081,0.9385606342128081,0.9385606342128081,0.0
2012-10-13,0.21476188043263092,0.0,0.0,0.21476188043263092,0.21476188043263092,0.0006110556276309919,0.00013901470762764343,0.2761055369751022,0.2761055369751022,0.2761055369751022,0.0
2012-10-14,0.6389298528831667,0.0,0.0,0.6389298528831667,0.6389298528831667,0.0,0.0001517813852014869,0.21875387092778398,0.21875387092778398,0.218753870927784,0.0
2012-10-15,20.948501408085672,0.0,0.0,20.948501408085672,20.948501408085672,0.003160718791389312,0.005562127040331558,1.0,1.0,1.0,0.14152936275453018
2012-10-16,1.8824205269522478,0.0,0.0,1.8824205269522478,1.8824205269522478,0.1326428575393829,0.013195583797003117,0.2761055369751022,0.2761055369751022,0.2761055369751022,0.16666666666666666
2012-10-17,0.0,0.0,0.0,0.0,0.0,0.0477685958344059,0.000618279971904252,0.0,0.0,0.0,0.0
2012-10-18,0.5287707486475961,0.0,0.0,0.5287707486475961,0.5287707486475961,0.0,0.0004386061521250335,0.1716008092819687,0.1716008092819687,0.1716008092819687,0.0
2012-10-19,3.5495755975382965,0.0,0.0,3.5495755975382965,3.5495755975382965,0.057073817086679995,0.002725909096572415,0.20554110409182874,0.20554110409182874,0.20554110409182874,0.0
2012-10-20,1.371244730067429,0.38863984474676866,0.0,1.7598845748141978,1.371244730067429,0.08465526094987512,0.0032638338153273914,0.19525991989760105,0.16203338311825372,0.19525991989760105,0.0
2012-10-21,1.449750006777628e-05,9.623305354261629e-05,0.0,0.00011073055361039257,1.449750006777628e-05,0.020841860821100427,0.0005607834456732762,0.0002477393781741608,0.0002477393781741608,0.0002477393781741608,0.0
2012-10-22,6.567127308224944,6.482344564481248,0.0,13.049471872706192,6.567127308224944,0.010765351714015471,0.0013854907628810993,0.6470126759981832,0.5263056913057043,0.6470126759981832,0.11713018177718428
2012-10-23,3.695178677145563,1.3741128142796675,0.0,5.069291491425231,3.695178677145563,0.0,0.004220104843151919,0.8830670135017961,0.7693121571699326,0.8830670135017961,0.16666666666666666
2012-10-24,3.743603036626724,0.7405267207255499,0.0,4.4841297573522745,3.743603036626724,0.004317209189738314,0.0035417292778265287,0.923407242247822,0.8303836735963264,0.923407242247822,0.16117826803497579
2012-10-25,0.0,0.0,0.0,0.0,0.0,0.0,0.002051465355670883,0.0,0.0,0.0,0.11016989851019544
2012-10-26,5.5424081458656955,0.04224923927071673,0.0,5.5846573851364125,5.5424081458656955,0.014237026606863667,0.002338148324040786,1.0,0.9897366068918342,1.0,0.13243362254878216
2012-10-27,12.711042299908467,0.0,1.1851292480274298,12.711042299908467,13.896171547935896,0.0,0.016007096928218906,1.0,1.0,0.914715413238874,0.15340944146342225
2012-10-28,10.41117903140846,0.0,2.8618535623105132,10.41117903140846,13.273032593718973,0.0,0.04199834250989757,1.0,1.0,0.784385855899669,0.15183173491320034
2012-10-29,11.666301605589403,0.0,2.3178238848521198,11.666301605589403,13.984125490441523,0.0,0.06995165035484775,1.0,1.0,0.8342532118696728,0.138614045551634
2012-10-30,11.781109252830248,0.0,1.185304248783098,11.781109252830248,12.966413501613346,0.06952450065052057,0.11698686305993447,1.0,1.0,0.9085865764935218,0.12880274015088025
2012-10-31,4.230898490082363,0.0,0.6744759240078204,4.230898490082363,4.905374414090184,0.029811145035896047,0.6934593289656449,1.0,1.0,0.8625026619638946,0.03701208012732244
2012-11-01,0.7390828364609416,0.0,0.24483859977522884,0.7390828364609416,0.9839214362361705,0.1649088846082957,1.3970215857255155,0.18704323052149138,0.18704323052149138,0.14049947105884558,0.026154923009876027
2012-11-02,4.087312800151837,0.0,0.1634822324898493,4.087312800151837,4.250795032641687,0.10899582739790066,0.6250841314364745,1.0,1.0,0.9615407867858892,0.06802178693242945
2012-11-03,0.0,0.0,0.23875058641692956,0.0,0.23875058641692956,0.0,0.35323899558511185,0.0,0.0,0.0,0.09051061343201094
2012-11-04,0.0,0.0,0.2441453757357125,0.0,0.2441453757357125,0.0,0.3322783496441853,0.0,0.0,0.0,0.1283905640042057
2012-11-05,0.020541751149854192,0.0,0.11484916185555595,0.020541751149854192,0.13539091300541015,0.07428021284770085,0.22108807606298947,0.014534043519550765,0.014534043519550765,0.0022051310427889112,0.15098368814923105
2012-11-06,2.4288750867086876e-05,0.0,0.051159472379901184,2.4288750867086876e-05,0.05118376113076827,0.1428637095658262,0.1182339291768714,0.0004954787563483216,0.0004954787563483216,2.3512457480667723e-07,0.15908932085503547
2012-11-07,0.0,0.0,0.0,0.0,0.0,0.35112194182646816,0.06326769795475136,0.0,0.0,0.0,0.15879574547321199
2012-11-08,0.0,0.0,0.0,0.0,0.0,0.11388232512475369,0.03700773892353104,0.0,0.0,0.0,0.14535732753863895
2012-11-09,0.39330220768672935,5.448053037560538,0.0,5.841355245247267,0.39330220768672935,0.023864234407183348,0.02720012561698449,0.1582641727569264,0.11358254554324616,0.1582641727569264,0.1961454693164996
2012-11-10,0.025919305444126142,1.7507131240572442,0.0,1.7766324295013705,0.025919305444126142,0.012187051142175954,0.026564105437099868,0.02209009455386267,0.007249251529031474,0.02209009455386267,0.17093781117187215
2012-11-11,0.005319043939039818,9.75655225393421,0.0,9.761871297873249,0.005319043939039818,5.976558186764327e-09,0.023185265634711814,0.008588298443370907,0.0009180967637970885,0.008588298443370907,0.14953563627900102
2012-11-12,1.5216188993984099,0.18312627713676763,0.0,1.7047451765351775,1.5216188993984099,0.0,0.020496271064197824,0.31714769395928816,0.28977290206668127,0.31714769395928816,0.12509140610318048
2012-11-13,0.0,0.0,0.029060100007062665,0.0,0.029060100007062665,0.0,0.020799290196947744,0.0,0.0,0.0,0.11420826261737434
2012-11-14,0.0,0.0,0.1856710411748175,0.0,0.1856710411748175,0.0,0.014185103488201902,0.0,0.0,0.0,0.1081077759756943
2012-11-15,0.0,0.0,0.0,0.0,0.0,0.0,0.02873007885409958,0.0,0.0,0.0,0.16660085821448634
2012-11-16,3.4731787098157407,0.0,0.022049913230316975,3.4731787098157407,3.495228623046058,0.0,0.0895962783645774,0.7738139477269912,0.7738139477269912,0.7689322841095425,0.21700234984426905
2012-11-17,11.130814187235623,0.49988261334735495,0.04575132799005931,11.630696800582978,11.176565515225683,0.0,0.10508499198560466,0.9990090424873034,0.9647788990966107,0.9949195938721982,0.07534210517466867
2012-11-18,11.853796641269156,3.931432091352236,0.010510515719930768,15.785228732621391,11.864307156989087,0.0,0.2677672704970179,0.909657706759156,0.8058119791284811,0.9088518466697183,0.17717781713913863
2012-11-19,25.473416000179974,0.0,2.2149640960654766,25.473416000179974,27.68838009624545,0.0,4.473458977494267,1.0,1.0,0.9200038395758,0.39169030484887224
2012-11-20,11.237778510142082,0.08024588974784952,1.1830921919542434,11.318024399889932,12.420870702096325,0.0,16.400137645062138,1.0,0.9953748574756364,0.904749657223743,0.7689196500459013
2012-11-21,0.20099002185818587,2.8155232347909003,0.019995967926596678,3.016513256649086,0.22098598978478257,0.009463400242090903,9.288879366731381,0.08080432718113878,0.03196415967399088,0.07349272911911747,0.6289905115085052
2012-11-22,0.0,0.0,0.0,0.0,0.0,0.0056955932791167875,2.6503695545843593,0.0,0.0,0.0,0.6109521280500048
2012-11-23,13.320789680677574,0.0,0.0,13.320789680677574,13.320789680677574,0.0,0.9420282638052043,1.0,1.0,1.0,0.6564990534506587
2012-11-24,0.0,0.0,0.01721180658267955,0.0,0.01721180658267955,0.0,5.2159990899148445,0.0,0.0,0.0,0.3014182819296261
2012-11-25,0.0,0.0,0.0,0.0,0.0,0.005449589144424937,2.9612580881372264,0.0,0.0,0.0,0.38363784210965607
2012-11-26,0.0,0.0,0.0,0.0,0.0,0.004108744956364738,0.8111970848690462,0.0,0.0,0.0,0.41076179838816906
