,J,SNOW,SM,P,P2,ET,Tair,SWIN,Q,C_J,C_P,C_P2,C_P2b,C_Q,dS
2004-10-03,0.0220425574724749,0.0,0.0070344999184982,0.0220425574724749,0.0290770573909732,0.134187317651952,282.8109658580463,146.457371986447,0.1239408532018257,0.0,0.0,0.0,0.0,0.0,-0.2360856133813028
2004-10-04,0.1491255227753094,0.0,0.0378018543254919,0.1491255227753094,0.1869273771008014,0.1365798194298061,282.8447739085844,148.80339986638714,0.0331981467027882,0.0,0.0,0.0,0.0,0.0,-0.02065244335728489
2004-10-05,0.0,0.0,0.0214525308105667,0.0,0.0214525308105667,0.1277655518197596,283.343636597278,149.63579191923247,0.0127310071458917,0.0,0.0,0.0,0.0,0.0,-0.1404965589656513
2004-10-06,0.7793094951820011,0.0,0.0364919818845955,0.7793094951820011,0.8158014770665966,0.127668452177465,283.24304478737264,138.89227736850333,0.0062090886002265,0.0,0.0,0.0,0.0,0.0,0.6454319544043096
2004-10-07,0.1644531855821925,0.0,0.0514699351511482,0.1644531855821925,0.2159231207333407,0.1287510289282841,283.35759983902346,142.60548978846217,0.0036174883022959,0.0,0.0,0.0,0.0,0.0,0.032084668351612486
2004-10-08,1.233736329535804,0.0,0.0435888852666613,1.233736329535804,1.2773252148024656,0.1186103143303376,283.327275647729,127.02713779372696,0.0023267175615419,0.0,0.0,0.0,0.0,0.0,1.1127992976439245
2004-10-09,0.96208285756862,0.0,0.0002716032188676,0.96208285756862,0.9623544607874877,0.1181644537734709,282.8401798607985,121.30922298496608,0.0018538236418967,0.0,0.0,0.0,0.0,0.0,0.8420645801532524
2004-10-10,0.8112901505757856,0.0,0.0,0.8112901505757856,0.8112901505757856,0.0899499963292166,282.622335725122,124.91418384836273,0.0016017645548524,0.0,0.0,0.0,0.0,0.0,0.7197383896917166
2004-10-11,2.356477634262696,0.0,0.0,2.356477634262696,2.356477634262696,0.0941544124101097,281.43811827038485,116.53622660232342,0.002473132406323,0.0,0.0,0.0,0.0,0.0,2.2598500894462634
2004-10-12,1.844757203725672,0.0,0.0,1.844757203725672,1.844757203725672,0.0994877759555886,280.0715866788028,114.88058388738908,0.0025563657753279,0.0,0.0,0.0,0.0,0.0,1.7427130619947557
2004-10-13,1.7392760786839758,0.0282091392259956,0.0059928743766577,1.7674852179099714,1.7452689530606331,0.049625462546936,280.01040614065204,116.83481916782614,0.0030458093234342,0.0,0.0,0.0,0.0,0.0,1.7148139460396012
2004-10-14,1.756841574419136,0.0,0.0078604086267868,1.756841574419136,1.7647019830459227,0.0446310411275046,280.0558288712055,116.06496463440402,0.0033055612303834,0.0,0.0,0.0,0.0,0.0,1.708904972061248
2004-10-15,4.921677282979608,0.0,0.0072284459803034,4.921677282979608,4.928905728959911,0.0376640918983254,280.3719142414925,107.0881958463866,0.0093510143797147,0.0,0.0,0.0,0.0,0.0,4.874662176701567
2004-10-16,1.5194061692857517,0.0,0.016572013050357,1.5194061692857517,1.5359781823361087,0.0449842871295863,280.96629492545145,104.26734862308192,0.020394085242058,0.0,0.0,0.0,0.0,0.0,1.4540277969141073
2004-10-17,4.093614553777059,0.0,0.0162412973917172,4.093614553777059,4.109855851168777,0.0360880662881923,281.8216065292472,106.7873582251412,0.10332170858861,0.0,0.0,0.0,0.0,0.0,3.954204778900257
2004-10-18,1.7713480264328654,0.0,0.0028269959770516,1.7713480264328654,1.774175022409917,0.0562245171128219,281.41707703470564,103.23676059620092,0.4182702718137958,0.0,0.0,0.0,0.0,0.0,1.2968532375062476
2004-10-19,2.300877093592808,0.0,0.0017995448573309,2.300877093592808,2.3026766384501385,0.050413534105801,281.5184229648166,100.16030234401096,0.2088364268589355,0.0,0.0,0.0,0.0,0.0,2.0416271326280713
2004-10-20,2.160320376344369,0.0053350450303153,0.0005125213116875,2.1656554213746846,2.1608328976560567,0.034892897730658,282.3026466617112,97.6329955488314,0.1078427673492964,0.0,0.0,0.0,0.0,0.0,2.0229197562947303
2004-10-21,2.2045785365184423,0.0012420260728634,1.9043623214816838e-10,2.2058205625913057,2.2045785367088784,0.0746787655801093,281.0417677050033,94.95286818929937,0.094836644927085,0.0,0.0,0.0,0.0,0.0,2.0363051520841116
2004-10-22,6.004396489872249,0.0323866537288973,0.0010345562631206,6.036783143601148,6.00543104613537,0.0399523088220004,280.13222706568,84.80738506471364,0.0601229561004998,0.0,0.0,0.0,0.0,0.0,5.936707878678647
2004-10-23,2.6503727032871023,8.019421128551357e-06,0.007866819805344,2.6503807227082308,2.6582395230924463,0.0624271307238645,279.4611536695137,86.20238588354759,0.1499078094643068,0.0,0.0,0.0,0.0,0.0,2.438045782520059
2004-10-24,1.583481161328134,0.5401953803734373,0.0031798505025254,2.123676541701572,1.5866610118306594,0.1022746267860931,278.16134954795564,89.5356569088624,0.4901373458801683,0.0,0.0,0.0,0.0,0.0,1.5312645690353106
2004-10-25,2.9139135000154504,0.2116197253443632,0.008621138395158,3.1255332253598134,2.922534638410609,0.0196227510075232,278.1943559251911,76.21174503059122,0.1561419456996191,0.0,0.0,0.0,0.0,0.0,2.949768528652671
2004-10-26,2.66503158071971,0.1536628682099033,0.0026845228325761,2.8186944489296137,2.667716103552286,0.0381408859698813,277.85688090261766,71.11516661853686,0.0558469427460195,0.0,0.0,0.0,0.0,0.0,2.724706620213713
2004-10-27,2.1477520541579005,0.004072670207888,0.0001621645086615,2.1518247243657886,2.1479142186665623,0.0813423639655532,277.0000077296725,76.9827217249413,0.0330046561596076,0.0,0.0,0.0,0.0,0.0,2.037477704240628
2004-10-28,5.7075726562412905,0.0035207699392263,0.0002318634900589,5.7110934261805175,5.70780451973135,0.046110063423708,276.83927697070106,75.14826005603894,0.2960557894768107,0.0,0.0,0.0,0.0,0.0,5.368927573279999
2004-10-29,5.314632071059092,0.0,0.0989841325355421,5.314632071059092,5.413616203594633,0.0539824589970645,277.9124805566078,72.27616801041249,1.1874409473369532,0.0,0.0,0.0,0.0,0.0,4.073208664725074
2004-10-30,2.808869239657476,0.0,0.2385586491360188,2.808869239657476,3.047427888793495,0.0611709719334223,277.44151203312634,79.32382590374009,0.7198981694121581,0.0,0.0,0.0,0.0,0.0,2.0278000983118956
2004-10-31,5.440284725715771,0.0,0.1931597707648326,5.440284725715771,5.633444496480604,0.0412768712633186,277.9200546620892,73.83109279174197,0.5342334262043381,0.0,0.0,0.0,0.0,0.0,4.864774428248115
2004-11-01,5.298376936048997,0.0,0.0991567991275015,5.298376936048997,5.3975337351764985,0.0677982633474575,278.20869142629624,71.33150167572663,0.7507326622561435,0.0,0.0,0.0,0.0,0.0,4.479846010445396
2004-11-02,4.8176039621353,0.0582834797706466,0.0830611480441681,4.875887441905947,4.900665110179468,0.0915403470248965,277.56944399455614,64.17679925124197,0.7735327380111542,0.0,0.0,0.0,0.0,0.0,4.010814356869897
2004-11-03,2.791888429179068,0.0899624490533251,0.072360826981525,2.881850878232393,2.8642492561605937,0.1065090938805513,277.4113995153645,70.28831168636584,0.6580284337224892,0.0,0.0,0.0,0.0,0.0,2.1173133506293524
2004-11-04,1.8452001806678493,1.193711744650881,0.0571521246057271,3.0389119253187302,1.9023523052735765,0.0709633584296979,277.2798718514113,64.04495282569434,0.5086182931044424,0.0,0.0,0.0,0.0,0.0,2.45933027378459
2004-11-05,7.254745455886926,0.6846183338094308,0.203833171189463,7.939363789696357,7.458578627076389,0.0298711544208164,277.71186401566115,63.926495733346265,0.3292788918855427,0.0,0.0,0.0,0.0,0.0,7.580213743389998
2004-11-06,1.400309035928525,0.3949384767496835,0.0258731787239837,1.7952475126782084,1.4261822146525087,0.0597651904017145,277.8020856006308,65.3288558536352,0.1578061780694098,0.0,0.0,0.0,0.0,0.0,1.5776761442070841
2004-11-07,3.1363966103886014,1.070397356391842,0.0099659592010433,4.206793966780444,3.1463625695896447,0.0943091586278014,276.8467793557012,61.4954713065188,0.1199423543331532,0.0,0.0,0.0,0.0,0.0,3.99254245381949
2004-11-08,1.3556512205283022,0.4301785868837067,0.004378709808551,1.785829807412009,1.3600299303368537,0.1317450547167081,275.86840334825075,64.01989356566868,0.3140885777524409,0.0,0.0,0.0,0.0,0.0,1.33999617494286
2004-11-09,0.9470131134606454,0.8296734031467589,0.0002178697896656,1.7766865166074044,0.9472309832503112,0.0623660134360069,275.5553428035849,66.77753378130267,0.6226083184811515,0.0,0.0,0.0,0.0,0.0,1.091712184690246
2004-11-10,1.2819205874634227,0.2324608351557595,8.176415783340363e-05,1.5143814226191823,1.2820023516212562,0.0713542700093558,275.1677672080598,66.58904586387986,0.3247747455184457,0.0,0.0,0.0,0.0,0.0,1.1182524070913806
2004-11-11,0.7915453757349731,0.6071161863612181,0.0106312295367297,1.3986615620961913,0.8021766052717028,0.1102865327790053,274.57829015441536,68.43135252320765,0.1291714111382274,0.0,0.0,0.0,0.0,0.0,1.1592036181789587
2004-11-12,3.6145498561949623,1.001632184609252,0.0477222184212488,4.616182040804215,3.662272074616212,0.0462714353086064,274.19529604327107,58.90810778689978,0.0894865747687456,0.0,0.0,0.0,0.0,0.0,4.480424030726864
2004-11-13,1.7796861966179305,0.8130638973137043,0.141455326211446,2.5927500939316346,1.9211415228293764,0.0182370857801001,274.3913693267478,62.80806552219234,1.1980175777614612,0.0,0.0,0.0,0.0,0.0,1.3764954303900734
2004-11-14,1.7787909651514549,0.5794361929153219,0.0921564263581146,2.358227158066777,1.8709473915095696,0.1105131582044516,274.8995409146906,61.991965586959445,0.9224560520752332,0.0,0.0,0.0,0.0,0.0,1.3252579477870923
2004-11-15,1.3845271596834583,0.6612979616050491,0.1961397747125646,2.0458251212885075,1.580666934396023,0.1072262730387231,275.2560619759618,56.40851944107218,0.7440227595316706,0.0,0.0,0.0,0.0,0.0,1.1945760887181138
2004-11-16,2.3255327228057925,1.4243590426071322,0.0299151492712504,3.749891765412925,2.355447872077043,0.0790178308685757,274.72300202898435,58.93643347117459,0.8180066304690766,0.0,0.0,0.0,0.0,0.0,2.852867304075273
2004-11-17,1.1859915825301923,0.500727571719075,0.0013254530542245,1.6867191542492674,1.1873170355844167,0.1054307854422883,274.0396875300603,61.6654786248256,1.0079785216229509,0.0,0.0,0.0,0.0,0.0,0.5733098471840283
2004-11-18,3.5844718809419014,0.0507354546221954,0.0168362511729522,3.635207335564097,3.6013081321148537,0.1103457651020713,274.02528225738587,62.83518913401851,0.5905631141834871,0.0,0.0,0.0,0.0,0.0,2.9342984562785386
2004-11-19,2.549211710967367,1.0871408685054769,0.2003415125900942,3.636352579472844,2.749553223557461,0.0370885449649556,274.03974128661343,55.853513004540325,0.3624636185031873,0.0,0.0,0.0,0.0,0.0,3.236800416004701
2004-11-20,2.0988091134998363,1.8603152668135177,0.0013163576389123,3.959124380313354,2.1001254711387487,0.0388735851257771,273.5049686734056,53.36255830841753,0.4006719007157464,0.0,0.0,0.0,0.0,0.0,3.51957889447183
2004-11-21,3.1462384297282058,0.1395043167457962,0.1886598269931159,3.285742746474002,3.334898256721322,0.0407589349128188,273.3861414632367,61.28805975636106,0.6458530194821295,0.0,0.0,0.0,0.0,0.0,2.5991307920790536
2004-11-22,2.272104848860062,1.0802666230814248,0.1081363857213041,3.352371471941487,2.380241234581366,0.0097934305794233,273.8347053959545,58.42687958660952,1.5863291746470434,0.0,0.0,0.0,0.0,0.0,1.7562488667150202
2004-11-23,1.69847506082359,0.8474752784306188,0.6504479146279424,2.545950339254209,2.348922975451533,0.0088245556529251,274.1429915680232,54.6287337986124,1.2031616958736953,0.0,0.0,0.0,0.0,0.0,1.3339640877275887
2004-11-24,1.4242689284890844,1.027200449883119,0.3469554718037133,2.451469378372204,1.7712244002927977,0.0130239424278692,273.6314714897704,53.53146820978236,0.9868500804230632,0.0,0.0,0.0,0.0,0.0,1.4515953555212717
