,J,SNOW,SM,P,P2,ET,Tair,SWIN,Q,C_J,C_P,C_P2,C_Q
2004-10-03,0.022042557472474977,0.0,0.007034499918498288,0.022042557472474977,0.029077057390973268,0.134187317651952,282.8109658580463,146.457371986447,0.12394085320182573,0.0,0.0,0.0,0.0
2004-10-04,0.14912552277530947,0.0,0.03780185432549197,0.14912552277530947,0.18692737710080143,0.1365798194298061,282.8447739085844,148.80339986638714,0.03319814670278823,0.0,0.0,0.0,0.0
2004-10-05,0.0,0.0,0.021452530810566767,0.0,0.021452530810566767,0.12776555181975968,283.343636597278,149.63579191923247,0.012731007145891792,0.0,0.0,0.0,0.0
2004-10-06,0.7793094951820011,0.0,0.03649198188459555,0.7793094951820011,0.8158014770665966,0.127668452177465,283.24304478737264,138.89227736850333,0.00620908860022656,0.0,0.0,0.0,0.0
2004-10-07,0.1644531855821925,0.0,0.051469935151148276,0.1644531855821925,0.21592312073334075,0.12875102892828413,283.35759983902346,142.60548978846217,0.003617488302295959,0.0,0.0,0.0,0.0
2004-10-08,1.2337363295358041,0.0,0.043588885266661326,1.2337363295358041,1.2773252148024656,0.11861031433033763,283.327275647729,127.02713779372696,0.00232671756154198,0.0,0.0,0.0,0.0
2004-10-09,0.9620828575686199,0.0,0.00027160321886768156,0.9620828575686199,0.9623544607874875,0.11816445377347096,282.8401798607985,121.30922298496608,0.001853823641896726,0.0,0.0,0.0,0.0
2004-10-10,0.8112901505757856,0.0,0.0,0.8112901505757856,0.8112901505757856,0.08994999632921663,282.622335725122,124.91418384836273,0.0016017645548524952,0.0,0.0,0.0,0.0
2004-10-11,2.356477634262696,0.0,0.0,2.356477634262696,2.356477634262696,0.09415441241010976,281.43811827038485,116.53622660232342,0.002473132406323067,0.0,0.0,0.0,0.0
2004-10-12,1.8447572037256716,0.0,0.0,1.8447572037256716,1.8447572037256716,0.09948777595558866,280.0715866788028,114.88058388738908,0.002556365775327953,0.0,0.0,0.0,0.0
2004-10-13,1.7392760786839758,0.028209139225995616,0.005992874376657772,1.7674852179099714,1.7452689530606333,0.049625462546936026,280.01040614065204,116.83481916782614,0.003045809323434255,0.0,0.0,0.0,0.0
2004-10-14,1.756841574419136,0.0,0.007860408626786825,1.756841574419136,1.7647019830459227,0.04463104112750465,280.0558288712055,116.06496463440402,0.003305561230383424,0.0,0.0,0.0,0.0
2004-10-15,4.921677282979608,0.0,0.007228445980303409,4.921677282979608,4.9289057289599105,0.037664091898325466,280.3719142414925,107.08819584638661,0.0093510143797147,0.0,0.0,0.0,0.0
2004-10-16,1.5194061692857517,0.0,0.01657201305035706,1.5194061692857517,1.5359781823361087,0.04498428712958638,280.96629492545145,104.26734862308193,0.020394085242058057,0.0,0.0,0.0,0.0
2004-10-17,4.093614553777059,0.0,0.01624129739171722,4.093614553777059,4.109855851168777,0.036088066288192354,281.82160652924716,106.7873582251412,0.10332170858861008,0.0,0.0,0.0,0.0
2004-10-18,1.7713480264328654,0.0,0.002826995977051621,1.7713480264328654,1.774175022409917,0.056224517112821996,281.41707703470564,103.23676059620091,0.4182702718137958,0.0,0.0,0.0,0.0
2004-10-19,2.3008770935928076,0.0,0.0017995448573309744,2.3008770935928076,2.3026766384501385,0.05041353410580102,281.5184229648166,100.16030234401097,0.20883642685893555,0.0,0.0,0.0,0.0
2004-10-20,2.160320376344369,0.00533504503031532,0.0005125213116875343,2.1656554213746846,2.1608328976560567,0.034892897730658096,282.3026466617112,97.6329955488314,0.10784276734929642,0.0,0.0,0.0,0.0
2004-10-21,2.2045785365184423,0.0012420260728634913,1.9043623214816838e-10,2.2058205625913057,2.2045785367088784,0.07467876558010932,281.0417677050033,94.95286818929935,0.09483664492708506,0.0,0.0,0.0,0.0
2004-10-22,6.004396489872249,0.03238665372889739,0.001034556263120646,6.036783143601148,6.00543104613537,0.039952308822000494,280.13222706568,84.80738506471364,0.06012295610049981,0.0,0.0,0.0,0.0
2004-10-23,2.6503727032871023,8.019421128551357e-06,0.00786681980534403,2.6503807227082308,2.6582395230924463,0.06242713072386454,279.46115366951375,86.20238588354759,0.14990780946430682,0.0,0.0,0.0,0.0
2004-10-24,1.583481161328134,0.5401953803734373,0.0031798505025254537,2.1236765417015717,1.5866610118306594,0.1022746267860931,278.16134954795564,89.5356569088624,0.4901373458801683,0.0,0.0,0.0,0.0
2004-10-25,2.9139135000154504,0.21161972534436324,0.008621138395158084,3.1255332253598134,2.9225346384106086,0.01962275100752323,278.1943559251911,76.21174503059122,0.15614194569961914,0.0,0.0,0.0,0.0
2004-10-26,2.66503158071971,0.15366286820990335,0.002684522832576102,2.8186944489296137,2.667716103552286,0.03814088596988139,277.85688090261766,71.11516661853686,0.05584694274601958,0.0,0.0,0.0,0.0
2004-10-27,2.1477520541579005,0.004072670207888045,0.00016216450866150792,2.1518247243657886,2.1479142186665623,0.08134236396555321,277.0000077296725,76.9827217249413,0.03300465615960764,0.0,0.0,0.0,0.0
2004-10-28,5.7075726562412905,0.003520769939226394,0.00023186349005893453,5.7110934261805175,5.70780451973135,0.046110063423708,276.83927697070106,75.14826005603894,0.2960557894768107,0.0,0.0,0.0,0.0
2004-10-29,5.3146320710590915,0.0,0.09898413253554213,5.3146320710590915,5.413616203594633,0.053982458997064525,277.9124805566078,72.27616801041249,1.1874409473369532,0.0,0.0,0.0,0.0
2004-10-30,2.808869239657476,0.0,0.23855864913601887,2.808869239657476,3.047427888793495,0.06117097193342236,277.44151203312634,79.32382590374009,0.7198981694121581,0.0,0.0,0.0,0.0
2004-10-31,5.440284725715771,0.0,0.1931597707648326,5.440284725715771,5.633444496480604,0.041276871263318644,277.9200546620892,73.83109279174197,0.5342334262043381,0.0,0.0,0.0,0.0
2004-11-01,5.298376936048997,0.0,0.09915679912750157,5.298376936048997,5.3975337351764985,0.06779826334745756,278.20869142629624,71.33150167572663,0.7507326622561435,0.0,0.0,0.0,0.0
2004-11-02,4.8176039621353,0.05828347977064663,0.08306114804416817,4.875887441905947,4.900665110179468,0.0915403470248965,277.56944399455614,64.17679925124197,0.7735327380111542,0.0,0.0,0.0,0.0
2004-11-03,2.791888429179068,0.08996244905332519,0.07236082698152507,2.8818508782323935,2.8642492561605937,0.10650909388055135,277.4113995153645,70.28831168636584,0.6580284337224892,0.0,0.0,0.0,0.0
2004-11-04,1.8452001806678495,1.193711744650881,0.05715212460572719,3.0389119253187302,1.9023523052735765,0.07096335842969793,277.2798718514113,64.04495282569434,0.5086182931044424,0.0,0.0,0.0,0.0
2004-11-05,7.254745455886926,0.6846183338094308,0.203833171189463,7.939363789696357,7.458578627076389,0.02987115442081643,277.71186401566115,63.926495733346265,0.3292788918855427,0.0,0.0,0.0,0.0
2004-11-06,1.400309035928525,0.3949384767496835,0.025873178723983762,1.7952475126782084,1.4261822146525087,0.059765190401714526,277.8020856006308,65.3288558536352,0.15780617806940989,0.0,0.0,0.0,0.0
2004-11-07,3.1363966103886014,1.0703973563918419,0.009965959201043335,4.2067939667804435,3.1463625695896447,0.09430915862780147,276.84677935570113,61.495471306518795,0.11994235433315324,0.0,0.0,0.0,0.0
2004-11-08,1.3556512205283022,0.4301785868837067,0.004378709808551005,1.785829807412009,1.3600299303368535,0.13174505471670814,275.86840334825075,64.01989356566868,0.3140885777524409,0.0,0.0,0.0,0.0
2004-11-09,0.9470131134606454,0.8296734031467589,0.0002178697896656185,1.7766865166074044,0.9472309832503111,0.062366013436006944,275.55534280358495,66.77753378130267,0.6226083184811515,0.0,0.0,0.0,0.0
2004-11-10,1.2819205874634227,0.23246083515575955,8.176415783340363e-05,1.5143814226191825,1.2820023516212562,0.07135427000935583,275.1677672080598,66.58904586387986,0.3247747455184457,0.0,0.0,0.0,0.0
2004-11-11,0.7915453757349731,0.6071161863612181,0.010631229536729724,1.3986615620961913,0.8021766052717028,0.11028653277900537,274.57829015441536,68.43135252320765,0.12917141113822742,0.0,0.0,0.0,0.0
2004-11-12,3.6145498561949627,1.001632184609252,0.047722218421248845,4.6161820408042145,3.6622720746162116,0.04627143530860644,274.19529604327107,58.908107786899784,0.08948657476874565,0.0,0.0,0.0,0.0
2004-11-13,1.7796861966179305,0.8130638973137043,0.141455326211446,2.5927500939316346,1.9211415228293764,0.01823708578010011,274.3913693267478,62.808065522192344,1.1980175777614612,0.0,0.0,0.0,0.0
2004-11-14,1.7787909651514549,0.5794361929153219,0.09215642635811461,2.358227158066777,1.8709473915095696,0.11051315820445166,274.8995409146906,61.991965586959445,0.9224560520752331,0.0,0.0,0.0,0.0
2004-11-15,1.3845271596834585,0.6612979616050491,0.19613977471256464,2.0458251212885075,1.580666934396023,0.10722627303872312,275.2560619759618,56.40851944107218,0.7440227595316706,0.0,0.0,0.0,0.0
2004-11-16,2.3255327228057925,1.4243590426071322,0.029915149271250423,3.7498917654129245,2.355447872077043,0.07901783086857574,274.72300202898435,58.93643347117459,0.8180066304690766,0.0,0.0,0.0,0.0
2004-11-17,1.1859915825301923,0.500727571719075,0.001325453054224594,1.6867191542492674,1.1873170355844167,0.10543078544228839,274.0396875300603,61.6654786248256,1.0079785216229509,0.0,0.0,0.0,0.0
2004-11-18,3.5844718809419014,0.05073545462219548,0.01683625117295222,3.635207335564097,3.6013081321148537,0.11034576510207139,274.02528225738587,62.83518913401851,0.5905631141834871,0.0,0.0,0.0,0.0
2004-11-19,2.549211710967367,1.0871408685054769,0.20034151259009428,3.6363525794728435,2.749553223557461,0.03708854496495564,274.03974128661343,55.853513004540325,0.3624636185031873,0.0,0.0,0.0,0.0
2004-11-20,2.0988091134998363,1.8603152668135179,0.001316357638912373,3.959124380313354,2.1001254711387487,0.0388735851257771,273.5049686734056,53.36255830841753,0.4006719007157464,0.0,0.0,0.0,0.0
2004-11-21,3.1462384297282058,0.13950431674579625,0.18865982699311598,3.285742746474002,3.334898256721322,0.04075893491281884,273.3861414632367,61.28805975636106,0.6458530194821295,0.0,0.0,0.0,0.0
2004-11-22,2.272104848860062,1.0802666230814248,0.10813638572130418,3.352371471941487,2.380241234581366,0.0097934305794233,273.8347053959545,58.42687958660952,1.5863291746470434,0.0,0.0,0.0,0.0
2004-11-23,1.6984750608235901,0.8474752784306188,0.6504479146279424,2.545950339254209,2.348922975451533,0.008824555652925194,274.1429915680232,54.628733798612394,1.2031616958736953,0.0,0.0,0.0,0.0
2004-11-24,1.4242689284890844,1.027200449883119,0.3469554718037133,2.4514693783722037,1.7712244002927975,0.0130239424278692,273.6314714897704,53.53146820978236,0.9868500804230633,0.0,0.0,0.0,0.0
2004-11-25,1.610948551801478,0.44776441858811133,0.02105391517747481,2.0587129703895894,1.6320024669789526,0.009078658357629303,273.85611516656144,55.831983961479324,0.9245859131369224,0.0,0.0,0.0,0.0
2004-11-26,1.7447928769302976,0.2987401241080067,0.2940381310208781,2.043533001038304,2.0388310079511753,0.01022834334208815,273.98282214542076,54.14518951515578,0.7646788227967485,0.0,0.0,0.0,0.0
2004-11-27,1.298626741809948,0.7757059354956349,0.3164433872736559,2.074332677305583,1.6150701290836038,0.007852809970639097,273.59925249532927,51.328189673009554,0.6819373502159217,0.0,0.0,0.0,0.0
2004-11-28,1.6465839359678995,0.36459282812984717,0.35168255454083264,2.0111767640977467,1.9982664905087322,0.006945827630720637,273.45269248065955,51.05944216417736,0.6619643240690716,0.0,0.0,0.0,0.0
2004-11-29,0.8738949337949099,0.8066800135196086,0.22531519282640314,1.6805749473145184,1.099210126621313,0.0038883301905206706,273.08781329977757,49.60621064975103,0.6585573306980782,0.0,0.0,0.0,0.0
2004-11-30,0.2605986913851816,1.309056962976756,0.1236674495415876,1.5696556543619373,0.3842661409267692,0.015274599900778693,272.09856637033744,50.52977947993878,0.5158051240761932,0.0,0.0,0.0,0.0
2004-12-01,1.4113681883713787,1.6774543261837715,0.1125524455221752,3.0888225145551504,1.5239206338935538,0.005482304556564805,271.8968864562397,42.52916016828669,0.3298582181878493,0.0,0.0,0.0,0.0
2004-12-02,3.8114651828954162,2.2012058119166125,0.11294200548480487,6.012670994812029,3.9244071883802207,0.0011685407263177128,272.0579491529394,42.74515195326902,0.5395331392306354,0.0,0.0,0.0,0.0
2004-12-03,1.015835213301693,2.440475302113309,0.04039948461124327,3.456310515415003,1.0562346979129364,0.0949994816102614,271.71918651671496,45.75238666643096,2.366034092325946,0.0,0.0,0.0,0.0
2004-12-04,1.2854793712784691,0.7111220489550338,0.012302105949478635,1.9966014202335032,1.297781477227948,0.05777866290057102,271.39466103805853,46.638492142903544,1.2160280052598023,0.0,0.0,0.0,0.0
2004-12-05,1.9790888577686296,0.8946354414455705,0.01279942567131138,2.8737242992142,1.991888283439941,0.01775958040848618,271.7087688216965,46.22539722514906,0.6339128858654358,0.0,0.0,0.0,0.0
2004-12-06,2.752971007380284,1.2223893658850387,0.5642961326727994,3.9753603732653233,3.3172671400530835,0.029116068474276308,271.79795844962695,44.277348891691474,1.0689148173381855,0.0,0.0,0.0,0.0
2004-12-07,3.275876462067876,0.037974961204359274,0.12143050113647579,3.313851423272236,3.397306963204352,0.011560219335948953,271.2331109710005,38.70269627228891,2.0971727911459475,0.0,0.0,0.0,0.0
2004-12-08,2.6289153851546607,0.4050119803741347,0.018618907004700428,3.033927365528795,2.647534292159361,0.006314075913341355,271.15947180236367,43.824477492951615,1.427724840874988,0.0,0.0,0.0,0.0
2004-12-09,3.4065904689816637,0.7594332536215695,0.35639332560136805,4.166023722603233,3.762983794583032,0.004267024902691233,271.64970215945726,42.78950178892382,2.1753491229191577,0.0,0.0,0.0,0.0
2004-12-10,2.645724388179141,3.793082821875492,0.3377997733190017,6.438807210054634,2.9835241614981425,0.012774337095453574,271.4122258748028,36.733105881154586,2.8633724872210817,0.0,0.0,0.0,0.0
2004-12-11,1.836189422701132,2.459394290492016,0.09117880110992023,4.295583713193148,1.927368223811052,0.0003310026140913869,272.31206620862423,39.70444530015512,2.060026898232741,0.0,0.0,0.0,0.0
2004-12-12,1.3290951616265931,1.7719796841715174,0.013283371608008085,3.1010748457981108,1.3423785332346012,0.0009328366943429814,272.31523290777216,40.14527292305576,1.3636030923821794,0.0,0.0,0.0,0.0
2004-12-13,0.4854386913724869,2.633408401546307,0.0022446698371374647,3.1188470929187937,0.48768336120962436,0.001722616226301773,271.9560641722934,37.343392756767024,0.9820221269519099,0.0,0.0,0.0,0.0
2004-12-14,0.00018095294560854046,0.8318689403000393,0.002689383231815893,0.832049893245648,0.0028703361774244335,0.0014435912961774033,271.69666284537993,47.042941400066006,0.5385861322190632,0.0,0.0,0.0,0.0
2004-12-15,0.010236935619527448,0.21415764958858183,0.0,0.2243945852081093,0.010236935619527448,0.0007359419299277362,271.39795506007573,48.82425522238404,0.27437480751292126,0.0,0.0,0.0,0.0
2004-12-16,0.10015498021668585,1.2467628979643337,0.0037459040953204477,1.3469178781810196,0.1039008843120063,4.724990601044283e-05,270.65313972552457,41.56568956931503,0.19017607103496473,0.0,0.0,0.0,0.0
2004-12-17,0.5078535071186057,2.1300540917830966,0.11709542502748654,2.6379075989017022,0.6249489321460923,0.0004953410020881386,271.27875713370014,44.617164067213245,0.17053481353036712,0.0,0.0,0.0,0.0
2004-12-18,1.983920576837886,4.861957604343143,0.009407448974939184,6.845878181181029,1.993328025812825,0.006344100836050723,271.39966425913434,38.689270937088416,0.1680285342465271,0.0,0.0,0.0,0.0
2004-12-19,2.9168558531025988,1.4101380104635428,0.01561998120378671,4.326993863566141,2.9324758343063855,0.012167108560271778,271.3125853237911,41.96375888186272,0.1884649329193663,0.0,0.0,0.0,0.0
2004-12-20,0.932271230515164,2.7608528994863692,3.20511101934035e-05,3.6931241300015323,0.9323032816253575,0.010059415433745975,270.48897850796635,41.8842274111603,0.4606304401552368,0.0,0.0,0.0,0.0
2004-12-21,3.973921682914209,3.6712916488397407,0.17325110958907322,7.645213331753951,4.147172792503283,0.001108034093382603,271.90310552422477,42.42226347386158,0.9507043133811397,0.0,0.0,0.0,0.0
2004-12-22,1.2595983436970017,2.0555990882189525,0.39589999877713483,3.3151974319159536,1.6554983424741365,0.0005970841465678338,272.0806490774391,45.364076045797134,1.4120215586710367,0.0,0.0,0.0,0.0
2004-12-23,1.2516115451541525,2.7546148088442064,0.031230430079682518,4.0062263539983585,1.2828419752338351,0.0017854316806994164,270.653972262846,42.333430149296525,1.0665322878760204,0.0,0.0,0.0,0.0
