datetime,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,dS-PJ
1983-05-03,0,0.25,1.643835616,3.404765363,3.279203885,,4675.943543,3163.578870297632
1983-05-04,1,0.0,0.0,3.032748603,2.572584759,,4909.717786,3633.884174364046
1983-05-05,2,6.25,1.643835616,2.954061453,0.882162352,,4979.09738,3750.12563768594
1983-05-06,3,11.75,1.643835616,3.821581006,1.653901717,,4471.583891,2754.822962112186
1983-05-07,4,11.25,1.643835616,5.064662011,0.994315476,,3957.744963,1965.837772634195
1983-05-08,5,1.25,1.643835616,4.551812849,1.527701483,,4125.646486,2234.121713167664
1983-05-09,6,11.83730762,1.643835616,5.523888268,1.752786937,,3798.836265,1771.640505762094
1983-05-10,7,8.856565245,1.643835616,6.226918994,0.996286069,6.6,3554.401648,1534.6888621529977
1983-05-11,8,9.52474636,13.01369863,6.748290503,2.142823722,,3449.42662,1393.6854592776467
1983-05-12,9,6.039389425,13.01369863,6.048150838,2.171004543,,3633.463633,1589.214559951955
1983-05-13,10,7.32013184,13.01369863,6.891234637,2.078043191,,3410.742119,1359.1054385010264
1983-05-14,11,6.89189156,13.01369863,5.877351955,2.780894529,,3681.229945,1644.7239858045562
1983-05-15,12,2.726206805,13.01369863,4.875863128,2.24022514,,4007.02643,2057.399005928019
1983-05-16,13,5.30081335,13.01369863,4.267005587,1.753218004,,4257.820818,2413.9550234280405
1983-05-17,14,8.023416695,7.260273973,4.040924581,2.285344723,,4387.380468,2576.650932654831
1983-05-18,15,0.49600682,7.260273973,4.052589385,2.645262331,,4304.65567,2567.7678178968517
1983-05-19,16,3.70008731,7.260273973,3.48747486,1.934239257,,4646.942475,3073.914035375077
1983-05-20,17,4.974597855,7.260273973,3.451776536,2.175281128,,4657.440351,3112.0354282043327
1983-05-21,18,3.708572615,7.260273973,3.216519553,2.54582565,,4793.152164,3386.626442677356
1983-05-22,19,8.278546275,7.260273973,3.060326816,0.792821086,,4898.443096,3594.6955990873876
