,timestep,J,Cl mg/l,Q,ET,Q Cl mg/l,S_scale,Rn,Ta
1983-05-03,0,0.25,1.643835616,3.404765363,3.279203885,,4675.943543,265.9166666666667,5.044841666666667
1983-05-04,1,0.0,0.0,3.032748603,2.572584759,,4909.717786,177.25,6.0965625
1983-05-05,2,6.25,1.643835616,2.954061453,0.882162352,,4979.09738,48.333333333333336,7.421570833333334
1983-05-06,3,11.75,1.643835616,3.821581006,1.653901717,,4471.583891,114.54166666666667,7.879195833333333
1983-05-07,4,11.25,1.643835616,5.064662011,0.994315476,,3957.744963,69.29166666666667,6.133533333333333
1983-05-08,5,1.25,1.643835616,4.551812849,1.527701483,,4125.646486,88.16666666666667,5.438229166666667
1983-05-09,6,11.83730762,1.643835616,5.523888268,1.752786937,,3798.836265,153.0,3.288016666666667
1983-05-10,7,8.856565245,1.643835616,6.226918994,0.996286069,6.6,3554.401648,99.79166666666667,2.0383541666666667
1983-05-11,8,9.52474636,13.01369863,6.748290503,2.142823722,,3449.42662,207.33333333333334,3.0433749999999997
1983-05-12,9,6.039389425,13.01369863,6.048150838,2.171004543,,3633.463633,158.29166666666666,4.646670833333333
1983-05-13,10,7.32013184,13.01369863,6.891234637,2.078043191,,3410.742119,139.91666666666666,5.262995833333334
1983-05-14,11,6.89189156,13.01369863,5.877351955,2.780894529,,3681.229945,192.41666666666666,5.651016666666667
1983-05-15,12,2.726206805,13.01369863,4.875863128,2.24022514,,4007.02643,156.75,5.410558333333333
1983-05-16,13,5.30081335,13.01369863,4.267005587,1.753218004,,4257.820818,115.83333333333333,5.989545833333334
1983-05-17,14,8.023416695,7.260273973,4.040924581,2.285344723,,4387.380468,150.16666666666666,5.6016375
1983-05-18,15,0.49600682,7.260273973,4.052589385,2.645262331,,4304.65567,163.75,6.245045833333333
1983-05-19,16,3.70008731,7.260273973,3.48747486,1.934239257,,4646.942475,124.79166666666667,5.517245833333334
1983-05-20,17,4.974597855,7.260273973,3.451776536,2.175281128,,4657.440351,144.0,5.6897875
1983-05-21,18,3.708572615,7.260273973,3.216519553,2.54582565,,4793.152164,180.0,5.878891666666667
1983-05-22,19,8.278546275,7.260273973,3.060326816,0.792821086,,4898.443096,113.375,5.0588500000000005
1983-05-23,20,4.62727415,7.260273973,3.148868715,0.637265227,,4852.455646,35.833333333333336,7.041825
1983-05-24,21,0.0,0.0,3.064198324,2.372710921,,4876.206253,131.04166666666666,9.478870833333334
1983-05-25,22,0.0,0.0,2.705555866,4.16956135,6.1,5138.017714,268.0833333333333,8.017850000000001
1983-05-26,23,0.0,0.0,2.501170391,2.604943935,,5299.656792,180.04166666666666,7.127479166666666
1983-05-27,24,0.0,0.0,2.33175419,3.201639523,,5445.516018,218.5,6.042016666666666
1983-05-28,25,3.964935535,7.260273973,2.318756983,0.679859499,,5460.454816,56.291666666666664,5.4465875
1983-05-29,26,0.94685427,7.260273973,2.097527933,0.761886796,,5666.525328,53.25,6.670983333333333
1983-05-30,27,2.854605245,7.260273973,1.969994413,1.773459938,,5806.065035,113.25,7.9930666666666665
1983-05-31,28,1.123431215,7.260273973,1.816944134,4.326218394,,5975.715856,229.95833333333334,10.555283333333334
1983-06-01,29,7.23289827,7.260273973,2.024924581,0.968468332,6.1,5750.434843,70.66666666666667,10.04965
1983-06-02,30,1.463484155,7.260273973,1.782502793,1.896668159,,6017.020748,136.70833333333334,9.638204166666666
1983-06-03,31,8.88794329,7.260273973,2.331578212,0.489377251,,5421.148434,35.625,9.204975
1983-06-04,32,0.0,0.0,1.876650838,3.628389638,,5895.857189,214.33333333333334,10.843658333333332
1983-06-05,33,0.0,0.0,1.67324581,4.81505525,,6158.75496,249.20833333333334,9.879362500000001
1983-06-06,34,0.0,0.0,1.542067039,4.780429603,,6344.724578,300.2916666666667,8.2167875
1983-06-07,35,22.5,7.260273973,3.801243017,2.20028539,6.0,3876.298299,116.54166666666667,11.756633333333333
1983-06-08,36,1.25,7.260273973,2.926734637,2.138712592,,4868.359019,143.25,11.419029166666666
1983-06-09,37,4.5,7.260273973,2.509818436,2.131361181,,5294.611284,136.20833333333334,9.4249875
1983-06-10,38,0.5,7.260273973,2.20200838,3.031716641,,5560.930043,205.41666666666666,8.725058333333333
1983-06-11,39,21.75,7.260273973,4.80527095,1.317226769,,3923.702951,100.58333333333333,9.038966666666667
1983-06-12,40,2.25,7.260273973,3.74852514,3.047775603,,4457.409253,239.875,7.4696375
1983-06-13,41,5.0,7.260273973,3.081796089,1.683045869,,4884.52426,120.08333333333333,7.4789916666666665
1983-06-14,42,7.75,7.260273973,2.975455307,3.038639639,6.2,4945.594249,239.45833333333334,6.46985
1983-06-15,43,0.0,0.0,2.708899441,4.264080669,,5125.378477,315.8333333333333,7.1503499999999995
1983-06-16,44,0.75,7.260273973,2.489103352,1.123500056,,5311.911132,81.33333333333333,6.934366666666667
1983-06-17,45,0.0,0.0,2.287106145,3.473731357,,5482.938051,185.125,9.861795833333334
1983-06-18,46,0.0,0.0,2.092851955,4.846822549,,5671.106575,248.91666666666666,12.7165625
1983-06-19,47,0.0,0.0,1.91627095,6.519950558,,5861.259947,339.4583333333333,13.938504166666666
1983-06-20,48,0.0,0.0,1.78946648,3.268670735,,6012.265715,179.875,13.609566666666666
1983-06-21,49,0.0,0.0,1.674678771,5.01237401,6.0,6159.070326,278.6666666666667,13.245883333333333
1983-06-22,50,0.0,0.0,1.5615,3.70995939,,6316.088825,194.58333333333334,15.537237500000002
1983-06-23,51,5.0,7.260273973,1.501215084,2.322626991,,6425.955981,130.0,13.156304166666667
1983-06-24,52,0.0,0.0,1.498675978,0.668463411,,6392.978947,46.875,9.529283333333334
1983-06-25,53,0.5,7.260273973,1.372675978,1.84567496,,6612.292423,98.91666666666667,10.6347375
1983-06-26,54,0.75,7.260273973,1.296,1.246117372,,6748.837688,83.58333333333333,10.277445833333333
1983-06-27,55,0.0,0.0,1.212888268,2.177499223,,6900.965105,138.45833333333334,7.667754166666666
1983-06-28,56,0.25,7.260273973,1.144055866,2.393374471,6.0,7045.029462,154.83333333333334,9.194358333333334
1983-06-29,57,16.25,7.260273973,1.566628492,1.487484206,,6340.232975,73.70833333333333,10.818395833333334
1983-06-30,58,4.25,7.260273973,2.130888268,2.767023784,,5608.708012,188.33333333333334,9.077495833333334
1983-07-01,59,7.25,7.260273973,1.388589385,2.786035479,,6567.793123,168.875,10.234208333333333
1983-07-02,60,16.5,7.260273973,4.339458101,4.917047089,,3942.117989,339.6666666666667,11.020545833333335
1983-07-03,61,0.0,0.0,1.810055866,5.737688424,,5963.049571,311.9166666666667,12.622195833333334
1983-07-04,62,0.0,0.0,1.474189944,6.810619068,,6436.753502,348.9166666666667,14.312883333333334
1983-07-05,63,0.0,0.0,1.341452514,7.016452469,5.8,6661.43639,331.125,16.92354166666667
1983-07-06,64,0.0,0.0,1.265027933,4.040836397,,6809.564546,193.08333333333334,17.0703375
1983-07-07,65,0.0,0.0,1.221787709,3.765231738,,6883.164506,175.5,17.016791666666666
1983-07-08,66,0.0,0.0,1.163463687,4.889868011,,7008.73748,212.20833333333334,18.120933333333333
1983-07-09,67,0.0,0.0,1.134301676,4.595057467,,7069.015628,209.16666666666666,18.86231666666667
1983-07-10,68,0.0,0.0,1.12424581,4.387819239,,7081.535232,210.45833333333334,17.896795833333332
1983-07-11,69,2.285379775,7.260273973,1.039776536,3.604144942,,7271.153008,169.75,18.440691666666666
1983-07-12,70,0.0,0.0,0.966368715,5.979863769,,7462.893755,252.79166666666666,21.484174999999997
1983-07-13,71,0.0,0.0,0.925139665,7.437114856,6.0,7558.553439,304.0833333333333,22.228508333333334
1983-07-14,72,0.0,0.0,0.868826816,6.438180778,,7730.851648,290.0416666666667,20.9699875
1983-07-15,73,0.0,0.0,0.868826816,6.747605592,,7730.851648,307.0833333333333,19.611291666666666
1983-07-16,74,0.5,7.260273973,0.868826816,4.851888552,,7730.851648,202.83333333333334,19.8013
1983-07-17,75,0.770158825,7.260273973,0.868826816,4.398232195,,7730.851648,228.66666666666666,16.898766666666667
1983-07-18,76,4.682046435,7.260273973,1.067656425,3.13437079,,7145.83509,189.91666666666666,13.881045833333333
1983-07-19,77,0.0,0.0,0.870938547,4.763428196,6.2,7706.749554,242.875,13.841458333333334
1983-07-20,78,0.0,0.0,0.78149162,4.361082987,,7996.742774,216.16666666666666,11.7237375
1983-07-21,79,0.0,0.0,0.694256983,6.43708406,,8271.946441,297.7916666666667,14.049237499999998
1983-07-22,80,0.0,0.0,0.597041899,2.209548547,,8717.156107,222.70833333333334,15.121120833333334
1983-07-23,81,0.0,0.0,0.583265363,2.431022351,,8784.379976,134.54166666666666,15.421741666666668
1983-07-24,82,0.0,0.0,0.561544693,1.380489498,,8885.506961,163.29166666666666,14.061520833333333
1983-07-25,83,0.0,0.0,0.535977654,4.376332739,,9012.740718,197.95833333333334,14.848550000000001
1983-07-26,84,0.0,0.0,0.508701117,4.581891733,,9162.67188,189.29166666666666,15.637841666666667
1983-07-27,85,0.0,0.0,0.486351955,4.50150988,,9292.041459,210.33333333333334,14.673025
1983-07-28,86,0.0,0.0,0.468804469,5.01515277,,9398.792574,250.125,15.181183333333335
1983-07-29,87,0.0,0.0,0.450226257,6.39534205,,9510.333361,297.0416666666667,17.150316666666665
1983-07-30,88,0.0,0.0,0.440522346,5.270946144,,9578.529571,231.375,15.210195833333332
1983-07-31,89,10.72284153,7.260273973,0.582712291,1.749184729,,8696.370657,87.125,13.5186
1983-08-01,90,2.5,7.260273973,0.569865922,2.287126994,6.4,8819.832879,165.625,8.502783333333333
1983-08-02,91,10.0,7.260273973,0.781592179,2.387067427,,7934.061582,161.91666666666666,7.703983333333333
1983-08-03,92,0.0,0.0,0.563681564,4.678782401,,8848.137892,294.5,10.168954166666667
1983-08-04,93,0.75,7.260273973,0.51903352,1.620939553,,9111.513336,75.08333333333333,12.172287500000001
1983-08-05,94,0.75,7.260273973,0.487835196,4.882873041,6.5,9274.41558,267.7916666666667,14.031350000000002
1983-08-06,95,0.0,0.0,0.455555866,5.116996127,,9476.897305,266.25,14.5059625
1983-08-07,96,0.0,0.0,0.438787709,4.040906278,,9590.75391,225.91666666666666,14.357470833333332
1983-08-08,97,0.0,0.0,0.436424581,2.872824203,,9608.16631,166.58333333333334,13.234191666666666
1983-08-09,98,0.0,0.0,0.42151676,4.094865408,6.4,9707.133309,229.83333333333334,14.43735
1983-08-10,99,0.0,0.0,0.413773743,4.210283555,,9764.524164,241.08333333333334,13.783416666666668
1983-08-11,100,0.0,0.0,0.404396648,5.256412383,,9831.813448,270.5833333333333,15.5077625
1983-08-12,101,0.0,0.0,0.399494413,3.591642796,,9869.029193,238.83333333333334,12.3671375
1983-08-13,102,0.0,0.0,0.387804469,5.544911408,,9954.316051,283.0833333333333,15.163708333333334
1983-08-14,103,0.0,0.0,0.380187151,5.572416785,,10014.29692,279.125,16.51064583333333
1983-08-15,104,0.0,0.0,0.378100559,3.008033277,,10032.9212,173.66666666666666,13.8974375
1983-08-16,105,56.50166788,7.260273973,1.477282123,0.886948987,6.1,5466.137069,60.208333333333336,14.772529166666667
1983-08-17,106,10.59460913,7.260273973,1.816893855,2.076557323,,5833.778788,113.54166666666667,14.476279166666666
1983-08-18,107,0.0,0.0,0.825335196,4.124992379,,7792.389599,197.29166666666666,13.436141666666666
1983-08-19,108,0.133844945,7.260273973,0.636662011,5.012790904,,8524.76831,211.20833333333334,16.171025
1983-08-20,109,4.92155366,7.260273973,0.624946927,2.131954325,,8596.126203,102.95833333333333,15.324720833333332
