DBCODE,ENTITY,SITECODE,AIRTEMP_METHOD,HEIGHT,QC_LEVEL,PROBE_CODE,DATE,AIRTEMP_MEAN_DAY,AIRTEMP_MEAN_FLAG,AIRTEMP_MAX_DAY,AIRTEMP_MAX_FLAG,AIRTEMP_MAXTIME,AIRTEMP_MIN_DAY,AIRTEMP_MIN_FLAG,AIRTEMP_MINTIME,EVENT_CODE
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-23,12.2,A,17.3,A,1549,8.2,A,2353,"METHOD"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-24,12.5,A,21.4,A,1533,6.3,A,0603,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-25,13.9,A,22.8,A,1503,7.7,A,0519,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-26,12.8,A,21.3,A,1536,6.5,A,0535,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-27,14.3,A,23.4,A,1305,8.0,A,0534,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-28,13.0,A,19.7,A,1243,9.6,A,2154,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-29,12.6,A,19.3,A,1701,9.1,A,0535,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-30,14.9,A,23.2,A,1429,8.8,A,0547,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-08-31,18.8,A,29.4,A,1441,11.6,A,0144,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-01,20.3,A,29.9,A,1334,13.8,A,0452,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-02,19.1,A,29.1,A,1256,11.6,A,0530,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-03,14.1,A,20.3,A,1142,9.6,A,2358,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-04,13.0,A,20.5,A,1452,7.6,A,0410,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-05,12.1,A,17.9,A,1551,9.8,A,0815,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-06,12.6,A,18.7,A,1220,8.8,A,0433,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-07,11.2,A,16.9,A,1529,8.8,A,0000,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-08,14.9,A,23.4,A,1427,7.8,A,0449,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-09,18.3,A,27.3,A,1451,12.4,A,0642,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-10,17.6,A,25.9,A,1430,12.2,A,0715,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-11,18.3,A,27.9,A,1352,11.7,A,0524,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-12,20.1,A,31.0,A,1529,13.4,A,0527,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-13,22.4,A,33.4,A,1526,15.1,A,0540,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-14,23.2,A,32.8,A,1440,17.9,A,2336,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-15,19.6,A,29.7,A,1350,13.1,A,2355,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-16,14.8,A,22.3,A,1326,11.8,A,0401,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-17,14.6,A,22.9,A,1357,11.4,A,0608,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-18,15.6,A,25.2,A,1452,9.0,A,0618,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-19,17.3,A,26.6,A,1528,11.4,A,0543,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-20,17.2,A,23.1,A,1441,12.9,A,0333,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-21,16.1,A,22.5,A,1323,11.3,A,0605,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-22,18.9,A,28.9,A,1425,12.4,A,0235,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-23,17.5,A,26.8,A,1414,12.0,A,0620,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-24,15.5,A,23.6,A,1414,9.8,A,2355,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-25,10.0,A,14.1,A,1322,8.3,A,0247,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-26,10.1,A,15.2,A,1235,7.6,A,0637,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-27,10.0,A,13.2,A,1411,8.4,A,0000,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-28,7.9,A,10.1,A,1240,6.2,A,2320,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-29,8.6,A,12.5,A,1304,6.4,A,0000,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-09-30,8.8,A,13.3,A,1445,5.8,A,0000,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-01,8.3,A,16.7,A,1516,2.1,A,0525,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-02,11.8,A,18.2,A,1205,6.3,A,0453,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-03,8.2,A,12.5,A,0007,4.9,A,2359,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-04,7.7,A,15.7,A,1444,2.9,A,0453,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-05,11.3,A,20.7,A,1423,6.0,A,0529,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-06,8.1,A,13.5,A,1551,4.5,A,2329,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-07,8.3,A,16.2,A,1507,3.2,A,0407,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-08,7.9,A,11.3,A,1118,5.6,A,0201,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-09,9.1,A,13.7,A,1349,6.7,A,0539,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-10,11.6,A,16.4,A,1252,8.4,A,0049,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-11,5.5,A,11.3,A,0002,3.1,A,2040,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-12,4.8,A,12.4,A,1446,2.8,A,0043,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-13,10.6,A,20.7,A,1509,2.7,A,0239,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-14,16.0,A,26.5,A,1457,10.4,A,0209,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-15,14.7,A,24.1,A,1316,8.9,A,2157,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-16,8.8,A,13.0,A,1525,6.5,A,2347,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-17,8.6,A,13.2,A,0955,5.3,A,0349,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-18,8.6,A,16.3,A,1507,3.0,A,0747,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-19,12.6,A,22.2,A,1450,6.9,A,0431,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-20,8.5,A,13.4,A,0441,4.3,A,1939,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-21,3.1,A,6.4,A,1113,1.1,A,2308,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-22,4.1,A,12.1,A,1421,-1.4,A,0756,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-23,7.9,A,14.8,A,1335,4.6,A,0708,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-24,7.8,A,13.6,A,1353,4.2,A,0233,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-25,7.2,A,9.4,A,2354,5.3,A,1631,"NA"
MS001,1,"CENMET","AIR130",450,2D,"AIRCEN01",1995-10-26,8.4,A,10.3,A,1411,5.6,A,2101,"NA"
